SampleID,Description,Type,Site,replicate
T001,leaf_1,leaf,1,1
T002,leaf_1,leaf,1,1
T003,leaf_1,leaf,1,1
T004,leaf_1,leaf,1,2
T005,leaf_1,leaf,1,2
T006,leaf_1,leaf,1,2
T007,leaf_2,leaf,2,1
T013,leaf_3,leaf,3,1
T019,leaf_4,leaf,4,1
T022,leaf_4,leaf,4,2
T023,leaf_4,leaf,4,2
T025,tile_l_1,tile_l,1,1
T027,tile_l_1,tile_l,1,1
T028,tile_l_1,tile_l,1,2
T029,tile_l_1,tile_l,1,2
T030,tile_l_1,tile_l,1,2
T031,tile_l_2,tile_l,2,1
T032,tile_l_2,tile_l,2,1
T033,tile_l_2,tile_l,2,1
T034,tile_l_2,tile_l,2,2
T035,tile_l_2,tile_l,2,2
T036,tile_l_2,tile_l,2,2
T037,tile_l_3,tile_l,3,1
T038,tile_l_3,tile_l,3,1
T039,tile_l_3,tile_l,3,1
T040,tile_l_3,tile_l,3,2
T041,tile_l_3,tile_l,3,2
T042,tile_l_3,tile_l,3,2
T043,tile_l_4,tile_l,4,1
T044,tile_l_4,tile_l,4,1
T045,tile_l_4,tile_l,4,1
T046,tile_l_4,tile_l,4,2
T047,tile_l_4,tile_l,4,2
T048,tile_l_4,tile_l,4,2
T049,tile_d_1,tile_d,1,1
T050,tile_d_1,tile_d,1,1
T051,tile_d_1,tile_d,1,1
T052,tile_d_1,tile_d,1,2
T053,tile_d_1,tile_d,1,2
T054,tile_d_1,tile_d,1,2
T055,tile_d_2,tile_d,2,1
T056,tile_d_2,tile_d,2,1
T057,tile_d_2,tile_d,2,1
T058,tile_d_2,tile_d,2,2
T059,tile_d_2,tile_d,2,2
T060,tile_d_2,tile_d,2,2
T061,tile_d_3,tile_d,3,1
T062,tile_d_3,tile_d,3,1
T063,tile_d_3,tile_d,3,1
T064,tile_d_3,tile_d,3,2
T065,tile_d_3,tile_d,3,2
T067,tile_d_4,tile_d,4,1
T069,tile_d_4,tile_d,4,1
T070,tile_d_4,tile_d,4,2
T071,tile_d_4,tile_d,4,2
T072,tile_d_4,tile_d,4,2
T073,sediment_5_1,sediment_5,1,1
T074,sediment_5_1,sediment_5,1,1
T075,sediment_5_1,sediment_5,1,1
T076,sediment_5_1,sediment_5,1,2
T077,sediment_5_1,sediment_5,1,2
T078,sediment_5_3,sediment_5,3,1
T079,sediment_5_3,sediment_5,3,1
T080,sediment_5_3,sediment_5,3,1
T081,sediment_5_3,sediment_5,3,2
T082,sediment_5_3,sediment_5,3,2
T083,sediment_5_3,sediment_5,3,2
T084,sediment_5_4,sediment_5,4,1
T085,sediment_5_4,sediment_5,4,1
T086,sediment_5_4,sediment_5,4,1
T087,sediment_5_4,sediment_5,4,2
T089,sediment_5_4,sediment_5,4,2
T090,sediment_20_1,sediment_20,1,1
T091,sediment_20_1,sediment_20,1,1
T094,sediment_20_1,sediment_20,1,2
T095,sediment_20_1,sediment_20,1,2
T096,sediment_20_3,sediment_20,3,1
T097,sediment_20_3,sediment_20,3,1
T098,sediment_20_3,sediment_20,3,1
T099,sediment_20_3,sediment_20,3,2
T100,sediment_20_3,sediment_20,3,2
T101,sediment_20_3,sediment_20,3,2
T102,sediment_20_4,sediment_20,4,1
T103,sediment_20_4,sediment_20,4,1
T104,sediment_20_4,sediment_20,4,1
T105,sediment_20_4,sediment_20,4,2
T106,sediment_20_4,sediment_20,4,2
T107,sediment_20_4,sediment_20,4,2